,Topic,Word,P
0,0,said,0.009956595487892628
1,0,would,0.006187525577843189
2,0,it,0.0059746005572378635
3,0,one,0.005757560022175312
4,0,great,0.00553122628480196
5,1,one,0.005585602018982172
6,1,work,0.005541675258427858
7,1,great,0.004263406153768301
8,1,frederick,0.00375305931083858
9,1,may,0.0031390036456286907
10,2,mr,0.012562590651214123
11,2,said,0.009775477461516857
12,2,one,0.006428681313991547
13,2,would,0.005954875610768795
14,2,upon,0.0055970740504562855
15,3,upon,0.006293612997978926
16,3,king,0.006207295693457127
17,3,one,0.005813905503600836
18,3,would,0.005257794633507729
19,3,time,0.00432610185816884
20,4,said,0.013831747695803642
21,4,mr,0.012311138212680817
22,4,tom,0.00998209323734045
23,4,i,0.008305112831294537
24,4,it,0.007037031464278698
25,5,said,0.010750830173492432
26,5,ned,0.009425912983715534
27,5,it,0.00837554782629013
28,5,one,0.007654193788766861
29,5,work,0.005899537820369005
30,6,one,0.0061291661113500595
31,6,it,0.0055672707967460155
32,6,said,0.004562686663120985
33,6,man,0.00450868671759963
34,6,would,0.0041898018680512905
