,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2,Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/2/16,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019
4,Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/3/17,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019
6,Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/16,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
11,Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/5/16,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
14,Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/16,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
18,Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/16,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
24,Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/16,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
30,Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
32,Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/07/2016,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019
35,Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/07/2016,2.5,3067,2,1,1,138,105,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
37,Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/09/2016,2.5,3067,2,1,1,150,73,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
38,Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18/03/2017,2.5,3067,4,2,2,780,135,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
43,Abbotsford,52a William St,2,h,1100000,PI,Biggin,18/06/2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
44,Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019
49,Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/08/2016,2.5,3067,3,3,1,166,174,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
51,Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/08/2016,2.5,3067,2,2,2,98,128,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
56,Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/02/2017,2.5,3067,3,1,1,168,124,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
58,Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
59,Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
61,Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
63,Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
66,Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,3/9/16,13.5,3042,3,2,1,303,225,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
70,Airport West,23 Hart St,2,h,603000,S,Nelson,4/3/17,13.5,3042,2,1,1,272,84,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
71,Airport West,1/80 Hawker St,3,t,700000,S,Brad,4/3/17,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
72,Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/3/17,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
73,Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,4/3/17,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
81,Airport West,11 Harrington Rd,6,h,725000,SP,Barry,7/5/16,13.5,3042,6,3,2,976,186,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
82,Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/16,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
83,Airport West,3/19 Hart St,2,u,515000,S,Barry,7/11/16,13.5,3042,2,1,1,141,73,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
85,Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/9/16,13.5,3042,2,1,1,120,94,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
86,Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,10/9/16,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
90,Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/2/17,13.5,3042,3,1,1,265,130,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
98,Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
100,Airport West,180 Parer Rd,3,h,830000,S,Barry,16/04/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
103,Airport West,174 Parer Rd,2,h,675000,S,Barry,16/07/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
104,Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
